Building Name,City,Height,Floors,Completion,Material,Use,Country
Shanghai Tower,Shanghai (CN),632,128,2015,composite,hotel / office,China
Ping An Finance Center,Shenzhen (CN),599.1,115,2017,composite,office,China
Guangzhou CTF Finance Centre,Guangzhou (CN),530,111,2016,composite,hotel / residential / office,China
Tianjin CTF Finance Centre,Tianjin (CN),530,97,2019,composite,hotel / serviced apartments / office,China
CITIC Tower,Beijing (CN),527.7,109,2018,composite,office,China
TAIPEI 101,Taipei (CN),508,101,2004,composite,office,China
Shanghai World Financial Center,Shanghai (CN),492,101,2008,composite,hotel / office,China
International Commerce Centre,Hong Kong (CN),484,108,2010,composite,hotel / office,China
Changsha IFS Tower T1,Changsha (CN),452.1,94,2018,composite,hotel / office,China
Suzhou IFS,Suzhou (CN),450,95,2019,composite,hotel / office / serviced apartments,China
Zifeng Tower,Nanjing (CN),450,66,2010,composite,hotel / office,China
KK100,Shenzhen (CN),441.8,100,2011,composite,hotel / office,China
Guangzhou International Finance Center,Guangzhou (CN),438.6,103,2010,composite,hotel / office,China
Wuhan Center Tower,Wuhan (CN),438,88,2019,composite,hotel / residential / office,China
Jin Mao Tower,Shanghai (CN),420.5,88,1999,composite,hotel / office,China
Two International Finance Centre,Hong Kong (CN),412,88,2003,composite,office,China
Guiyang International Financial Center T1,Guiyang (CN),401,79,2020,composite,hotel / office,China
China Resources Tower,Shenzhen (CN),392.5,68,2018,composite,office,China
CITIC Plaza,Guangzhou (CN),390.2,80,1996,composite,office,China
Shun Hing Square,Shenzhen (CN),384,69,1996,composite,office,China
Eton Place Dalian Tower 1,Dalian (CN),383.2,80,2016,composite,hotel / office,China
Nanning Logan Century 1,Nanning (CN),381.3,82,2018,composite,hotel / office,China
Central Plaza,Hong Kong (CN),373.9,78,1992,concrete,office,China
Dalian International Trade Center,Dalian (CN),370.2,86,2019,composite,residential / office,China
Golden Eagle Tiandi Tower A,Nanjing (CN),368.1,77,2019,composite,hotel / office,China
Bank of China Tower,Hong Kong (CN),367.4,72,1990,composite,office,China
Hanking Center,Shenzhen (CN),358.9,65,2018,steel,office,China
Raffles City Chongqing T3N,Chongqing (CN),354.5,79,2019,composite,residential / retail,China
Raffles City Chongqing T4N,Chongqing (CN),354.5,79,2019,composite,hotel / office / retail,China
Forum 66 Tower 1,Shenyang (CN),350.6,68,2015,composite,hotel / office,China
The Pinnacle,Guangzhou (CN),350.3,60,2012,concrete,office,China
Spring City 66,Kunming (CN),349,61,2019,composite,office,China
85 Sky Tower,Kaohsiung (CN),347.5,85,1997,steel,hotel / office / retail,China
Shimao Hunan Center,Changsha (CN),347,-,2019,composite,office,China
The Center,Hong Kong (CN),346,73,1998,steel,office,China
One Shenzhen Bay Tower 7,Shenzhen (CN),341.4,71,2018,composite,residential / hotel / office,China
Wuxi International Finance Square,Wuxi (CN),339,68,2014,composite,hotel / office,China
Heartland 66 Office Tower,Wuhan (CN),339,60,2020,composite,office,China
Chongqing World Financial Center,Chongqing (CN),338.9,72,2015,composite,hotel / office,China
Suning Plaza Tower 1,Zhenjiang (CN),338,75,2018,composite,hotel / serviced apartments / SOHO / office,China
Tianjin Modern City Office Tower,Tianjin (CN),338,65,2016,composite,office,China
Hengqin International Finance Center,Zhuhai (CN),337.7,69,2020,composite,residential / office,China
Tianjin World Financial Center,Tianjin (CN),336.9,75,2011,composite,office,China
"Twin Towers Guiyang, East Tower",Guiyang (CN),335,74,2020,composite,office,China
